id,cui,name,official_name,definition
1439,C0579201,pectobacterium atrosepticum,Pectobacterium atrosepticum,None
1440,C4698715,peptostreptococcus spp,Peptostreptococcus spp.,None
1441,C1008432,corynebacterium glucuronolyticum,Corynebacterium glucuronolyticum,"A species of aerobic or facultatively anaerobic, Gram-positive, coryneform, pleomorphic bacilli assigned to the phylum Actinobacteria. This species is nonmotile, non-spore forming, catalase positive, pyrazinamidase positive, esculin negative, non-lipophilic, and ferments glucose and sucrose; some strains are hippurate, and urease positive. C. glucuronolyticum is commensal in the urinary tract and vagina, but has been associated with urogenital infections."
1442,C1057150,aerococcus sanguinicola,Aerococcus sanguinicola,"A species of gram-positive, catalase-negative, vancomycin-susceptible coccoid bacteria belonging to the genus Aerococcus that is commonly found as a human pathogen, particularly in urinary tract infections, sepsis, and endocarditis."
1443,C0031738,photobacterium species,Photobacterium,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that are common in the marine environment and on the surfaces and in the intestinal contents of marine animals. Some species are bioluminescent and are found as symbionts in specialized luminous organs of fish."
1444,C1188555,spirulina platensis,Arthrospira platensis,None
1445,C0242615,mycobacterium haemophilum,Mycobacterium haemophilum,"A species of gram-positive, aerobic bacteria that causes granulomatous or ulcerating skin lesions in immunosuppressed persons. This organism owes its name to its requirement for growth of high levels of iron, conveniently supplied as blood, heme, or ferric ammonium citrate."
1446,C0996022,roseobacter,Roseobacter,"A genus of obligately aerobic marine phototrophic and chemoorganotrophic bacteria, in the family RHODOBACTERACEAE."
1447,C1012557,agrococcus,Agrococcus,None
1448,C0995208,phenylobacterium,Phenylobacterium,None
1449,C3794596,tahibacter,Tahibacter,None
1450,C4090210,rhodanobacteraceae,Rhodanobacteraceae,None
1451,C1009413,bradyrhizobiaceae taxa,Bradyrhizobiaceae,A proposed family of bacteria belonging to the alpha-2 subgroup of PROTEOBACTERIA.
1452,C4203580,massilibacterium senegalense,Massilibacterium senegalense,None
1453,C4440938,massilibacterium,Massilibacterium,None
1454,C3768531,ornithinibacillus heyuanensis,Ornithinibacillus heyuanensis,None
1455,C2623627,ornithinibacillus,Ornithinibacillus,None
1456,C1032118,pseudomonas veronii,Pseudomonas veronii,None
1457,C0314928,pentosaceus,Prevotella buccae,"A species of obligately anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-spore forming, nonpigmented, catalase and indole negative, hydrolyzes esculin and starch, ferments cellobiose, dextrin, fructose, glucose, glycogen, lactose, maltose, mannose, raffinose, salicin, starch, and sucrose, but does not reduce nitrate, or digest milk or meat. P. buccae is a commensal organism of the oropharynx and is mainly involved in dental, oral and respiratory infections, but can also be found in the normal cervical flora of healthy women."
1458,C0006792,klebsiella granulomatis,Calymmatobacterium granulomatis,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is nonmotile, oxidase negative and is covered by a large capsule. K. granulomatis is pathogenic and the causative agent of the sexually transmitted disease Donovanosis."
1459,C1937436,bacteroides coprophilus,Bacteroides coprophilus,None
1460,C1036779,pedobacter,Pedobacter,"A genus of gram-negative, aerobic, rod-shaped bacteria in the family Sphingobacteriaceae. They exhibit gliding motility."
1461,C1652829,phocaeicola coprocola,Bacteroides coprocola,None
1462,C1016917,anaerofilum,Anaerofilum,None
1463,C0995650,sporosarcina,Sporosarcina,A genus of endospore-forming bacteria in the family Planococcaceae. The species are strict or facultative anerobes.
1464,C1032171,myroides,Myroides,"A genus of aerobic, Gram-negative, rod shaped bacteria in the phylum Bacteroidetes and the family Flavobacteriaceae."
1465,C0317734,saccharopolyspora rectivirgula,Saccharopolyspora rectivirgula,None
1466,C0315178,corynebacterium pseudodiphtheriticum,Corynebacterium pseudodiphtheriticum,"A species of aerobic or facultatively anaerobic, Gram-positive, coryneform, pleomorphic bacilli assigned to the phylum Actinobacteria. This species is nonmotile, non-spore forming, catalase positive, oxidase negative, pyrazinamidase positive, non-lipophilic, reduces nitrate, urease positive, does not ferment glucose, sucrose, or maltose, and is reverse CAMP positive. C. pseudodiphtheriticum is commensal in the nasopharynx and is known to cause lower respiratory infections and endocarditis."
1467,C0995569,phormidium,Phormidium,"A genus of filamentous, sheathed CYANOBACTERIA in the family Oscillatoriaceae that is found mostly in aquatic environments and is similar to the genera LYNGBYA and PLECTONEMA."
1468,C1201103,ramlibacter,Ramlibacter,None
1469,C0318088,selenomonas sputigena,Selenomonas sputigena,"A species of strictly anaerobic, Gram negative, crescent shaped bacteria assigned to the phylum Firmicutes. This species is esterase positive, able to reduce nitrate and can produce acid from fructose, galactose, glucose, glycerol, lactose, maltose, melibiose, raffinose and sucrose. S. sputigena is found in human gingival spaces and is a cause of periodontal disease."
1470,C2787277,francisella noatunensis,Francisella noatunensis,None
1471,C2662190,enterorhabdus,Enterorhabdus,None
1472,C2662192,enterorhabdus mucosicola,Enterorhabdus mucosicola,None
1473,C1025391,actinoalloteichus cyanogriseus,Actinoalloteichus cyanogriseus,None
1474,C2773835,alistipes indistinctus,Alistipes indistinctus,None
1475,C0315191,brevibacterium lactofermentum,Corynebacterium glutamicum,"A species of gram-positive, asporogenous, non-pathogenic, soil bacteria that produces GLUTAMIC ACID."
1476,C1036298,brevibacterium avium,Brevibacterium avium,None
1477,C4391256,enterobacteriaceae bacterium,Enterobacteriaceae bacterium,None
1478,C5536375,unclassified enterobacteriaceae,unclassified Enterobacteriaceae,None
1479,C1206441,actinomyces cardiffensis,Schaalia cardiffensis,None
1480,C1051295,hallothiobacillaceae,Halothiobacillus,"A genus of gram-negative, chemolithoautotrophic bacteria in the family Halothiobacillaceae. Several of its species were reclassified to this genus from THIOBACILLUS."
1481,C1494922,halothiobacillaceae,Halothiobacillaceae,None
1482,C1065468,chromatiales,Chromatiales,None
1483,C1487396,comamonas kerstersii,Comamonas kerstersii,None
1484,C0315247,escherichia fergusonii,Escherichia fergusonii,"A species of facultatively anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria. This species is motile, indole positive, lysine decarboxylase, ornithine decarboxylase, and catalase positive, and negative for Vosges-Proskauer, citrate utilization, urea hydrolysis, phenylalanine deamination, arginine dihydrolase, growth in KCN and fermentation of lactose, sucrose, myo-inositol, D-sorbitol, raffinose and alpha-methyl-D-glucose. E. fergusonii can be isolated from the intestinal tract of warm blooded animals and from contaminated beef. In humans, this bacteria is most commonly responsible for wound infections, urinary tract infections, bacteremia, diarrhea, and pleural infections."
1485,C0445999,peptoniphilus lacrimalis,Peptoniphilus lacrimalis,None
1486,C0314941,prevotella disiens,Prevotella disiens,"A species of obligately anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-spore forming, non-pigmented, indole negative, hydrolyzes starch, but not esculin, generally nonhemolytic, produces succinic and acetic acid from peptone-yeast-glucose medium, digests gelatin, milk, casein, and meat, and ferments glucose maltose, and starch, but not galactose, sucrose, lactose, or mannose. P. disiens was isolated from the oral cavity and female genital tract where it is associated with infections, but is also linked to abscesses and a variety of systemic infections."
1487,C4124249,pasteurella caecimuris,Pasteurella caecimuris,None
1488,C0318202,succinivibrio genus,Succinivibrio,None
1489,C0315021,brachyspira aalborgi,Brachyspira aalborgi,None
1490,C2584390,novosphingobium aromaticivorans,Novosphingobium aromaticivorans,None
1491,C1080736,alloiococcus,Alloiococcus,None
1492,C2759723,lactococcus chungangensis,Lactococcus chungangensis,None
1493,C1056854,bulleidia extructa,Bulleidia extructa,None
1494,C4576507,desulfobulbus oralis,Desulfobulbus oralis,None
1495,C1672752,elizabethkingia,Elizabethkingia,"A genus of obligately aerobic, Gram negative, rod shaped bacterium in the phylum Bacteroidetes and the family Flavobacteriaceae."
1496,C0445868,helicobacter felis,Helicobacter felis,A species of HELICOBACTER that colonizes in the STOMACH of laboratory MICE; CATS; and DOGS. It is associated with lymphoid follicular hyperplasia and mild GASTRITIS in CATS.
1497,C0317922,oligella ureolytica,Oligella ureolytica,"A species of aerobic, Gram-negative, coccobacilli shaped bacteria assigned to the phylum Proteobacteria. This species is motile using peritrichous flagella (most strains), non-spore forming, noncapsulated, moderately fastidious, oxidase, catalase and urease positive, indole negative, reduces nitrate and nitrite, nonhemolytic, not susceptible to penicillin, and does not produce hydrogen sulfide, pigment or odors, hydrolyze gelatin and ferment or oxidize carbohydrates. O. ureolytica is commensal to the genitourinary, but can become pathogenic during long term catheterization or in immunocompromised individuals."
1498,C0317921,oligella,Oligella,"A genus of aerobic, gram negative, coccobacilli shaped bacterium assigned to the phylum Proteobacteria and the family Alcaligenaceae."
1499,C0317900,nocardia farcinica,Nocardia farcinica,"A species of aerobic, Gram-positive, rod shaped bacteria assigned to the phylum Actinobacteria. This species is nonmotile, non-spore forming, catalase and urease positive, reduces nitrate, does not produce acid phosphatase, hydrolyzes esculin and testosterone, but not casein, elastin, hypoxanthine, tyrosine, and xanthine, and produces a mycelium and aerial hyphae that fragments into coccoid elements. N. farcinica is found in soil and is a causative agent of nocardiosis."
1500,C1011146,catonella morbi,Catonella morbi,None
1501,C1036515,sanguinis,Gemella sanguinis,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria assigned to the phylum Firmicutes. This species does not form endospores, is oxidase and catalase negative, and non motile. G. sanguinis produces acid from sorbitol, mannitol and sucrose and is positive for pyrazinamidase but negative for esterase C 4."
1502,C0995741,streptomyces coelicolor,Streptomyces coelicolor,A soil-dwelling actinomycete with a complex lifecycle involving mycelial growth and spore formation. It is involved in the production of a number of medically important ANTIBIOTICS.
1503,C3802039,streptomyces albidoflavus group,Streptomyces albidoflavus group,None
1504,C0317968,psedomonas stutzeri,Pseudomonas stutzeri,"A species of aerobic, Gram negative, rod shaped bacteria in the phylum Proteobacteria. This species is motile, non spore forming, catalase and oxidase positive and is able to convert nitrates to nitrogen gas. P. stutzeri is an opportunistic pathogen."
1505,C0317534,chryseobacterium gleum,Chryseobacterium gleum,"A species of aerobic, Gram negative, rod shaped bacteria in the phylum Bacteroidetes. This bacteria is non motile, catalase and oxidase positive, indole positive, hydrolyzes starch and reduces nitrates and nitrites. C. gleum is most commonly found in soil and is rarely pathogenic, causing nosocomial infection in humans."
1506,C0445647,lactococcus garvieae,Lactococcus garvieae,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria assigned to the phylum Firmicutes. This species is nonmotile, catalase and cytochrome oxidase negative, nonsporulating, and alpha hemolytic on blood agar. L garvieae is a zoonotic pathogen, especially in fish."
1507,C4218718,lactobacillus bombicola,Lactobacillus bombicola,None
1508,C0085510,campylobacter coli,Campylobacter coli,"A species of gram-negative, rod-shaped bacteria isolated from the intestinal tract of swine, poultry, and man. It may be pathogenic."
1509,C1020510,burkholderia thailandensis,Burkholderia thailandensis,None
1510,C0038028,bacterial spores,"Spores, Bacterial","Heat and stain resistant, metabolically inactive bodies formed within the vegetative cells of bacteria of the genera Bacillus and Clostridium."
1511,C0317495,eubacterium brachy,Eubacterium brachy,None
1512,C1094576,papillibacter cinnamivorans,Papillibacter cinnamivorans,None
1513,C1087888,papillibacter,Papillibacter,None
1514,C4400945,ileibacterium valens,Ileibacterium valens,None
1515,C3946030,terrisporobacter,Terrisporobacter,None
1516,C1299785,filobacterium rodentium,Filobacterium rodentium,None
1517,C4092993,filobacterium,Filobacterium,None
1518,C4092994,filobacteriaceae,Filobacteriaceae,None
1519,C0317812,mycoplasma pulmonis,Mycoplasma pulmonis,A species of gram-negative bacteria highly pathogenic to RATS and MICE. It is the primary cause of murine respiratory mycoplasmosis.
1520,C5471116,mycoplasmopsis,Mycoplasmopsis,None
1521,C0318138,streptobacillus moniliformis,Streptobacillus moniliformis,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria in the phylum Fusobacteria. This species is catalase, oxidase, urease, and citrate negative and does not produce indole or reduce nitrate. S. moniliformis is found in rats and is a causative agent of rat bite fever in humans."
1522,C0317983,ralstonia picketii,Ralstonia pickettii,"A species of Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is non-fermentative and is not susceptible to most hospital disinfectants. R. pickettii is found in soil and is an emerging nosocomial pathogen that can cause severe infections including bacteremia, meningitis, septic arthritis and osteomyelitis."
1523,C1911062,moryella,Moryella,None
1524,C0317605,lactobacillus buchneri,Lactobacillus buchneri,None
1525,C2761482,lactobacillus taiwanensis,Lactobacillus taiwanensis,None
1526,C0445994,clostridium xylanolyticum,Clostridium xylanolyticum,None
1527,C0445742,klebsiella ornithinolytica,Raoultella ornithinolytica,"A species of Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is ornithine decarboxylase positive, able to grow at 10 degrees Celsius and uses sorbose as a carbon source. R. ornithinolytica is a pathogen that can cause enteric fever like syndrome and histamine fish poisoning."
1528,C4039163,carbapenemase‐producing enterobacteriaceae,Carbapenem-Resistant Enterobacteriaceae,"Strains of Enterobacteriaceae that are resistant to CARBAPENEMS, primarily due to the acquisition of carbapenemase (BETA-LACTAMASE) genes."
1529,C3609553,roseburia 499,Roseburia sp. 499,None
1530,C5326628,unclassified roseburia,unclassified Roseburia,None
1531,C1264801,bifidobacterium sp,Bifidobacterium species,None
1532,C5304039,unclassified bifidobacterium,unclassified Bifidobacterium,None
1533,C2269318,roseburia faecis,Roseburia faecis,None
1534,C0317587,lachnospira multipara,Lachnospira multipara,None
1535,C0995697,nocardioides,Nocardioides,A genus of aerobic Gram-positive high G+C DNA content bacteria in the family Nocardioidaceae and the phylum ACTINOBACTERIA. Members can utilize a wide range of carbon and nitrogen sources including ethene and VINYL CHLORIDE.
1536,C2586197,agrobacterium vitis,Agrobacterium vitis,None
1537,C5664738,allorhizobium,Allorhizobium,None
1538,C0242709,zooepidemicus,Streptococcus zooepidemicus,"A subspecies of Streptococcus equi that is positive for beta hemolysis, produces hyaluronic acid but not streptolysin O, and occurs in pairs or long chains. This subspecies is also lactose positive and capable of fermenting sorbitol but not trehalose."
1539,C0242710,streptococcus equi,Streptococcus equi,"A species of gram-positive, coccoid bacteria isolated from abscesses in submaxillary glands and mucopurulent discharges of the upper respiratory tract of horses. This organism belongs to Group C streptococci with regards to antigen response and is known to cause strangles. The subspecies S. zooepidemicus is also considered a pathogen of horses."
1540,C2286068,balneola,Balneola,None
1541,C4116294,balneolaceae,Balneolaceae,None
1542,C4393890,balneolales,Balneolales,None
1543,C4393888,balneolia,Balneolia,None
1544,C0004710,balneolota,Balneology,"Therapy by various hot or warm baths in natural mineral waters, spas, or cures. It includes not only bathing in, but also drinking the waters, but it does not include whirlpool baths (HYDROTHERAPY)."
1545,C1924401,rickettsia raoultii,Rickettsia raoultii,None
1546,C1264776,acinetobacter guillouiae,Acinetobacter guillouiae,None
1547,C0010150,nondiphtheria corynebacteria,Corynebacterium diphtheriae,"A species of gram-positive, asporogenous bacteria in which three cultural types are recognized. These types (gravis, intermedius, and mitis) were originally given in accordance with the clinical severity of the cases from which the different strains were most frequently isolated. This species is the causative agent of DIPHTHERIA."
1548,C1075091,helicobacter winghamensis,Helicobacter winghamensis,None
1549,C3564961,myroides injenensis,Myroides injenensis,None
1550,C2618358,paraprevotella clara,Paraprevotella clara,None
1551,C1074946,dysgonomonas species,Dysgonomonas,None
1552,C4592930,dysgonomonadaceae,Dysgonomonadaceae,None
1553,C0446000,anaerococcus lactolyticus,Anaerococcus lactolyticus,None
1554,C1457905,paratyphi,Salmonella paratyphi A,A serotype of SALMONELLA ENTERICA that causes mild PARATYPHOID FEVER in humans.
1555,C3309422,paenalcaligenes hominis,Paenalcaligenes hominis,None
1556,C3401912,paenalcaligenes,Paenalcaligenes,None
1557,C0318049,gordonia bronchialis,Gordonia bronchialis,"A species of aerobic, Gram positive, coryneform bacteria assigned to the phylum Actinobacteria. This species is catalase positive, slightly acid fast, nonmotile and contains lipoparabinomannan like lipoglycans in the cell wall. G. bronchialis is an opportunistic pathogen, causing infection at medical device implantation sites and wound sites in surgical patients."
1558,C5227046,lactobacillus paracasei paracasei,Lactobacillus paracasei subsp. paracasei,None
1559,C0995606,lactococcus piscium lactococcus piscium,Lactococcus piscium,None
1560,C1010156,halobacteroides halobius,Halobacteroides halobius,None
1561,C1010152,halobacteroides,Halobacteroides,None
1562,C1083592,halobacteroidaceae,Halobacteroidaceae,None
1563,C1017383,halanaerobiales,Halanaerobiales,None
1564,C3915740,methyloprofundus sedimenti,Methyloprofundus sedimenti,None
1565,C3981777,methyloprofundus,Methyloprofundus,None
1566,C0025807,methylococcaceae,Methylococcaceae,"A family of gram-negative, aerobic bacteria utilizing only one-carbon organic compounds and isolated from in soil and water."
1567,C1065472,methylococcales,Methylococcales,None
1568,C0995259,gemmata obscuriglobus,Gemmata obscuriglobus,None
1569,C0995258,gemmata,Gemmata,None
1570,C4470804,gemmataceae,Gemmataceae,None
1571,C5360747,gemmatales,Gemmatales,None
1572,C1222578,planctomycetia,Planctomycetacia,None
1573,C1066703,clostridium neonatale,Clostridium neonatale,None
1574,C1021769,pantoea dispersa,Pantoea dispersa,None
1575,C0445959,actinomyces gerencseriae,Actinomyces gerencseriae,None
1576,C1036530,cryptobacterium,Cryptobacterium,None
1577,C1026647,citrobacter werkmanii,Citrobacter werkmanii,"A species of facultatively anaerobic, gram negative, rod shaped bacteria assigned to the phylum Proteobacteria; this species is motile by peritrichous flagella, it is negative for ornithine decarboxylase activity, and it is positive for growth on malonate."
1578,C3386367,haemophilus sputorum,Haemophilus sputorum,None
1579,C0008544,chromatiaceae,Chromatiaceae,A family of phototrophic purple sulfur bacteria that deposit globules of elemental sulfur inside their cells. They are found in diverse aquatic environments.
1580,C2992928,anaerostipes butyraticus,Anaerostipes butyraticus,None
1581,C1677945,dialister micraerophilus,Dialister micraerophilus,"A species of Gram-negative, non-motile, non-sporulating, rod-shaped bacteria in the family Veillonellaceae. D. micraerophilus is generally anaerobic but will also grow under microaerophilic conditions. It can be differentiated from other Dialister species by phenylalanine arylamidase activity and tyrosine arylamidase activity."
1582,C1690804,serratia ureilytica,Serratia ureilytica,None
1583,C0315222,edwardsiella tarda,Edwardsiella tarda,"A species of EDWARDSIELLA distinguished by its hydrogen sulfide production. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
1584,C0315221,edwardsiella,Edwardsiella <enterobacteria>,"A genus of small, straight gram-negative rods which are facultatively anaerobic, chemoorganotrophic, and usually motile by peritrichous flagella. Members of this genus are usually found in the intestines of cold-blooded animals and in fresh water. They are pathogenic for eels, CATFISHES, and other animals and are rare opportunistic pathogens for humans. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
1585,C0317628,lactobacillus mali,Lactobacillus mali,None
1586,C0752025,methylococcus capsulatus bath,Methylococcus capsulatus,"A species of METHYLOCOCCUS which forms capsules and is capable of autotrophic carbon dioxide fixation. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
1587,C0752024,methylococcus,Methylococcus,"A genus of gram-negative, aerobic, spherical cells usually occurring in pairs. The resting stage is considered a cyst. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
1588,C2288617,segetibacter,Segetibacter,None
1589,C5142780,escherichia coli 2,Escherichia coli 2,None
1590,C1066640,granulicatella elegans,Granulicatella elegans,"A species of facultative anaerobic, gram-positive, cocci shaped bacteria assigned to the phylum Firmicutes. This species is non-motile, non-spore forming and catalase and oxidase negative. G. elegans is commensal, being found in normal human oral flora, but may be associated with infective endocarditis."
1591,C0318176,enterococcus cecorum,Enterococcus cecorum,None
1592,C3566130,defluviitaleaceae,Defluviitaleaceae,None
1593,C0315097,clostridium sphenoides,Clostridium sphenoides,None
1594,C3795931,streptococcus dentisani,Streptococcus oralis subsp. dentisani,None
1595,C0331716,microcystis,Microcystis,A form-genus of CYANOBACTERIA in the order Chroococcales. Many species are planktonic and possess gas vacuoles.
1596,C4419683,microcystaceae,Microcystaceae,None
1597,C0562699,chroococcales,Chroococcales,None
1598,C0023362,leptospira interrogans,Leptospira interrogans,A genus of question mark-shaped bacteria spirochetes which is found in fresh water that is contaminated by animal urine. It causes LEPTOSPIROSIS.
1599,C3622621,anaerococcus obesiensis,Anaerococcus obesiensis,None
1600,C1209093,varibaculum cambriense,Varibaculum cambriense,"A species of anaerobic, Gram positive, diptheroid bacteria assigned to the phylum Actinobacteria. This species is catalase, lecithinase, lipase, and gelatinase negative. V. cambriense has been isolated from human abscesses."
1601,C1209092,varibaculum,Varibaculum,"A genus of anaerobic, Gram positive, diptheroid bacterium assigned to the phylum Actinobacteria and the family Actinomycetaceae."
1602,C0317956,propionimicrobium lymphophilum,Propionibacterium lymphophilum,None
1603,C1222276,propionimicrobium,Propionimicrobium,None
1604,C0318260,vibrio fluvialis 2,Vibrio fluvialis,"A species of facultatively anaerobic, Gram negative, curved rod shaped bacteria assigned to the phylum Proteobacteria. This species is motile, oxidase positive, hemolytic, halophilic, can use a wide variety of sugars as carbon sources and cannot produce gas. V. fluvialis is a marine organism and a pathogen that can cause gastroenteritis and septicemia."
1605,C0317624,lactobacillus agilis,Lactobacillus agilis,None
1606,C0314929,prevotella gingivalis,Prevotella oralis,"A species of obligately anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-spore forming, nonpigmented, cellobiose, rhamnose, salicin sucrose, lactose, esculin hydrolysis, beta-N-acetyl-glucosaminidase, alpha-fucosidase, beta-glucosidase, and glycine aminopeptidase positive, but xylose, arabinose, indole, and beta-xylosidase negative. P. oralis is part of the normal human oral cavity flora, but is associated with oral and upper respiratory infections."
1607,C1011631,desulfovibrio_fairfieldensis,Desulfovibrio fairfieldensis,"A species of anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria. This species is motile, catalase positive, oxidase, urease and indole negative, produces hydrogen sulfide and is asaccharolytic. D. fairfieldensis is a commensal organism of the intestinal tract and is rarely seen to cause clinical disease."
1608,C0085481,desulfovibrio vulgaris,Desulfovibrio vulgaris,"A species of gram-negative, anaerobic, rod-shaped bacteria isolated from soil, animal intestines and feces, and fresh and salt water."
1609,C0318315,rickettsia parkeri,Rickettsia parkeri (organism),None
1610,C1295927,rickettsia sp,Rickettsia species,None
1611,C1054207,unclassified rickettsia,unclassified Rickettsia,None
1612,C0318313,rickettsia akari,Rickettsia akari,A species of gram-negative bacteria that causes rickettsialpox. The vector is a mouse mite and the reservoirs are mites and mice.
1613,C1086360,chlamydia felis,Chlamydia felis,None
1614,C1946273,barnesiella viscericola,Barnesiella viscericola,None
1615,C1929901,bacteroides salanitronis,Bacteroides salanitronis,None
1616,C0314911,amyloliquefaciens d1,Bacillus amyloliquefaciens,A non-pathogenic species of Bacillus that occurs in soil as well as some fermented vegetables and FERMENTED DAIRY PRODUCTS. It produces BACTERIOCINS and ANTIFUNGAL AGENTS and is used in FOOD PRESERVATION as well as a PROBIOTIC.
1617,C0317642,ligilactobacillus aviarius,Lactobacillus aviarius,None
1618,C0003876,arthrobacter,Arthrobacter,A genus of asporogenous bacteria isolated from soil that displays a distinctive rod-coccus growth cycle.
1619,C1480462,curvibacter,Curvibacter,None
1620,C0036956,shigella dysenteriae,Shigella dysenteriae,"A species of gram-negative, facultatively anaerobic, rod-shaped bacteria that is extremely pathogenic and causes severe dysentery. Infection with this organism often leads to ulceration of the intestinal epithelium."
1621,C4437645,frisingicoccus,Frisingicoccus,None
1622,C0085489,actinobacillus pleuropneumoniae,Actinobacillus pleuropneumoniae,"A species of gram-negative, facultatively anaerobic coccobacillus-shaped bacteria that has been isolated from pneumonic lesions and blood. It produces pneumonia with accompanying fibrinous pleuritis in swine."
1623,C1003864,methylophilaceae,Methylophilaceae,A family of gram-negative bacteria in the order Methylophilales.
1624,C4373876,roseimarinus,Roseimarinus,None
1625,C1002694,janthinobacterium lividum,Janthinobacterium lividum,None
1626,C1002693,janthinobacterium,Genus Janthinobacterium,None
1627,C2777060,pyramidobacter,Pyramidobacter,None
1628,C4365532,christensenella timonensis,Christensenella timonensis,None
1629,C4156295,fenollaria timonensis,Fenollaria timonensis,None
1630,C4176818,fenollaria,Fenollaria,None
1631,C3718952,coprobacter fastidiosus,Coprobacter fastidiosus,None
1632,C3747585,coprobacter,Coprobacter,None
1633,C0315318,salmonella abortusovis,Salmonella Abortusovis,None
1634,C0206383,mobiluncus curtisi,Mobiluncus curtisii,"A species of anaerobic, Gram positive, curved rod shaped bacterium assigned to the phylum Actinobacteria. This species is motile by one to six flagella that originate from the same spot on each cell and is oxidase, indole and catalase negative. M. curtisii is found in the vaginal tract and is pathogenic, being a causative agent of bacterial vaginosis."
1635,C4389828,lawsonella,Lawsonella,None
1636,C5476616,lawsonellaceae,Lawsonellaceae,None
1637,C1229047,stenotrophomonas rhizophila,Stenotrophomonas rhizophila,None
1638,C0317577,aggregatibacter segnis,Aggregatibacter segnis,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This bacteria is catalase positive, oxidase negative, requires V factor but not X factor to grow and xylose is not fermented. A. segnis is a commensal organism of the oral flora and is rarely pathogenic."
1639,C0445664,streptococcus downei,Streptococcus downei,None
1640,C0317894,neisseria polysaccharea,Neisseria polysaccharea,"A species of aerobic, Gram-negative, cocci shaped bacteria assigned to the phylum Proteobacteria. This species is catalase and oxidase positive, produces a yellowish pigment, reduces nitrate, but not nitrite, requires cystine-cysteine for growth, produces large amounts of polysaccharides, and produces acid from glucose and maltose, but not sucrose or lactose. N. polysaccharea is commensal in the nasopharynx of infants and children and is considered nonpathogenic."
1641,C0445935,f. nucleatum fusobacterium nucleatum,Fusobacterium nucleatum subsp. nucleatum,None
1642,C0318212,tissierella,Tissierella,"A genus of obligately anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Firmicutes and the family Clostridiales XI."
1643,C1473859,soehngenia,Soehngenia,None
1644,C0445738,hormaechei,Enterobacter hormaechei,"A species of facultatively anaerobic, Gram negative, rod shaped bacterium in the phylum Proteobacteria. This species is motile, indole negative, does not hydrolyze gelatin, reduces nitrate and produces acid from mucate. E. hormachei is an opportunistic pathogen, causing nosocomial infections."
1645,C1905671,streptomyces cinnamocastaneus,Streptomyces cinnamocastaneus,None
1646,C0315036,butyrivibrio fibrisolvens,Butyrivibrio fibrisolvens,A species of Butyrivibrio that occurs primarily in the RUMEN where it has important activities in LIPID METABOLISM and the production of BUTYRATES.
1647,C0445704,corynebacterium urealyticum,Corynebacterium urealyticum,"A species of aerobic or facultatively anaerobic, Gram-positive, coryneform, pleomorphic bacilli assigned to the phylum Actinobacteria. This species is nonmotile, non-spore forming, catalase positive, oxidase negative, pyrazinamidase positive, does not reduce nitrate, lipophilic, does not hydrolyze esculin or gelatin, and does not ferment glucose, maltose, or sucrose. C. urealyticum is commensal to the human skin and is known to cause urinary tract infections, kidney stones and pneumonia."
1648,C1038818,burkholderia multivorans,Burkholderia multivorans,"A species of aerobic, Gram-negative, rod shaped bacteria assigned to the genus Burkholderia, phylum Proteobacteria, and family Burkholderiaceae. It is a member of the non-taxonomic grouping of non-spore forming and motile bacterial species called the Burkholderia cepacia Complex. B. multivorans has been isolated from soil, water, and the rhizosphere. It is pathogenic in humans and is associated with cystic fibrosis and other conditions."
1649,C0033818,burkholderia mallei,Burkholderia mallei,"A species of aerobic, Gram-negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is nonmotile, encapsulated, catalase positive, oxidase and indole negative, and hydrolyzes starch. B mallei is found in contaminated soil, causes Glanders disease in horses, mules, donkeys, and humans, and has been developed and used as a biological weapon by the Germans, Russians and Japanese."
1650,C1885609,undibacterium,Undibacterium,None
1651,C0525033,pre probiotics,Probiotics,"Live microbial DIETARY SUPPLEMENTS which beneficially affect the host animal by improving its intestinal microbial balance. Antibiotics and other related compounds are not included in this definition. In humans, lactobacilli are commonly used as probiotics, either as single species or in mixed culture with other bacteria. Other genera that have been used are bifidobacteria and streptococci. (J. Nutr. 1995;125:1401-12)"
