,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
621,Prevotella copri,autoimmune diseases,"Several of the taxa most important for distinguishing Entamoeba presence, which included Prevotella copri, are also associated with autoimmune diseases [21].",positive,What is the relationship between Prevotella copri and autoimmune diseases?,
889,Fusobacterium,CRC,"Species level: Higher number of Fusobacterium rDNA copies correlated positively with that of Enterotoxigenic Bacteroides fragilis, E. faecalis in CRC tissue when compared to adjacent non-cancerous tissue Dejea et al[33] 2014 United States cohort: 30 CRCs, 6 adenomas and 22 healthy controls Malaysian cohort: 21 CRCs and 1 adenoma.",positive,What is the relationship between Fusobacterium and CRC?,
461,Veillonella,inflammatory bowel disease,"A previous study showed that the genus Veillonella was significantly higher in the salivary microbiota of inflammatory bowel disease (IBD) patients than in that of HCs, while the genus Streptococcus was significantly lower in the salivary microbiota of IBD patients than in that of HCs [12].",positive,What is the relationship between Veillonella and inflammatory bowel disease?,
598,Staphylococcus epidermidis,NEC,"Such OTUs include those matching closest to the potentially pathogenic Klebsiella granulomatis, Klebsiella pneumoniae and Clostridium perfringens, but also one that matched Staphylococcus epidermidis, a known skin commensal that has previously been associated with NEC risk.",positive,What is the relationship between Staphylococcus epidermidis and NEC?,
139,Porphyromonas gingivalis,rheumatoid arthritis,"For example, the Porphyromonas gingivalis genome, which represents organisms implicated in periodontal disease and has been linked to rheumatoid arthritis [36] and heart disease [37], recruits a relatively large fraction of reads from all individuals (1.68%).",relate,What is the relationship between Porphyromonas gingivalis and rheumatoid arthritis?,
749,Clostridium,Clostridium perfringens infection,"This Clostridium genus has been shown to be associated with necrotic enteritis and Clostridium perfringens infection models [66,67].",positive,What is the relationship between Clostridium and Clostridium perfringens infection?,
260,Porphyromonas gingivalis,chronic disease,"After establishing a subgingival biofilm, oral pathobionts, including Porphyromonas gingivalis, induce periodontitis as a chronic disease, which is attributable to host-pathobiont interactions and deleterious host immune responses in periodontal tissues.",positive,What is the relationship between Porphyromonas gingivalis and chronic disease?,
864,Clostridium,ASD,"Because this antibiotic is not absorbed in the gastrointestinal tract and its spectrum of action covers Gram-positive bacteria such as Clostridium, it is possible that these microorganisms play a role in ASD development, especially as vancomycin discontinuation led to a reversion of ASD symptoms [83].",positive,What is the relationship between Clostridium and ASD?,
990,Hp,inflammation,"Furthermore, a recent animal experiment demonstrated that INS-GAS mice co-infected with Hp and Streptococcus salivarius developed more severe inflammation, hyperplasia, and dysplasia in the stomach when compared with Hp only at 5 months post-infection.",positive,What is the relationship between Hp and inflammation?,
829,Faecalibacterium prausnitzii,Crohn?s disease,"Moreover, another study revealed the importance of anti-inflammatory bacteria such as Faecalibacterium prausnitzii, whose levels are low in patients with Crohn?s disease (CD).",negative,What is the relationship between Faecalibacterium prausnitzii and Crohn?s disease?,
323,Helicobacter pylori,gastric cancer (GC),"Bacterial Pathogens, Inflammation, and Oncogenesis Helicobacter pylori is perhaps the best described and most known oncogenic bacterial pathogen in relation to gastric cancer (GC) thus classified as a group I carcinogen (Wroblewski et al., 2010).",positive,What is the relationship between Helicobacter pylori and gastric cancer (GC)?,
180,Faecalibacterium prausnitzii,diarrhea,"Some genera are more particularly considered as beneficial for the host like Bifidobacterium, Lactobacillus, Faecalibacterium prausnitzii (a butyrate-producing bacteria), and Akkermansia muciniphila, while others are considered as potentially harmful like Staphylococcus, some species of the Clostridium genus (C.?perfringens, C. difficile) and Pseudomonas, which have been associated with diarrhea, systemic infections, liver damage, cancer, and encephalopathy (162).",na,What is the relationship between Faecalibacterium prausnitzii and diarrhea?,
248,Veillonella,pulmonary diseases,"Indeed, mass-DNA sequencing revealed that, besides the well-known lung pathogens, a core microbiota including four persistent anaerobes genera (Veillonella, Streptococcus, Actinomyces and Prevotella) exists and is common to pulmonary diseases (Cheung et al.2013).",positive,What is the relationship between Veillonella and pulmonary diseases?,
450,Helicobacter pylori,colitis-like conditions,"Bacteria such as Citrobacter rodentium, Helicobacter pylori, Mycobacterium avium, and Salmonella enterica serovar Typhimurium are commonly used in animal models to trigger colitis-like conditions (Jiminez et al., 2015).",positive,What is the relationship between Helicobacter pylori and colitis-like conditions?,
410,Staphylococcus pasteuri,active celiac disease,"Species such as Staphylococcus epidermidis, Staphylococcus pasteuri, and Klebsiella oxytoca were enriched in duodenal biopsies harvested from patients diagnosed with active celiac disease.",positive,What is the relationship between Staphylococcus pasteuri and active celiac disease?,
840,Fusobacterium animalis,CRC-related,"For example, Zeller and Feng et al.showed that Porphyromonas asaccharolytica, Peptostreptococcus stomatis, Fusobacterium vincentii, and Fusobacterium animalis were predictive in the early diagnosis of colorectal cancer, which are among the tops of our list; in particular, F. nucleatum is a common CRC-related species which promotes tumor development [18,20,35].",positive,What is the relationship between Fusobacterium animalis and CRC-related?,
607,Clostridium,intestinal inflammation,"Enterococcus spp. are important causes of human infections [40] and different species of Clostridium have been implicated in the induction of intestinal inflammation, due to production of extracellular toxins, and they may be detrimental during increased permeability of the colonic mucosa [41].",positive,What is the relationship between Clostridium and intestinal inflammation?,
19,Akkermansia muciniphila,BC,"The abundance of Akkermansia muciniphila, as a key player of propionate production, is associated with the richness of the gut microbiota in patients with BC (44).",relate,What is the relationship between Akkermansia muciniphila and BC?,
328,Streptococcus,pneumonia,"Similarly, Streptococcus is consistently found in healthy airways but is enriched in COPD, idiopathic pulmonary fibrosis (IPF), and pneumonia.",positive,What is the relationship between Streptococcus and pneumonia?,
296,Escherichia coli,IBS,Greater levels of Escherichia coli and Klebsiella spp were found in all patients with IBS.,positive,What is the relationship between Escherichia coli and IBS?,
880,Pseudomonas aeruginosa,occult bacterial infection,"Specifically, the authors observed pathogen growth (e.g., Haemophilus influenzae, Haemophilus parainfluenzae, Streptococcus pneumoniae, Moraxella catarrhalis, Pseudomonas aeruginosa and Proteus mirabilis) in 8/22 (36%) IPF patients, suggesting that occult bacterial infection may contribute to the development of IPF.",na,What is the relationship between Pseudomonas aeruginosa and occult bacterial infection?,
269,Bacteroides fragilis,colon cancer,"There are papers showing some microbes associated with GI tumors (Table 1), and common examples of microbes involved in cancer include Helicobacter pylori, which is associated with gastric cancer, Clonorchis sinensis and Opisthorchis viverrini, which are associated with bile duct cancer, and enterotoxigenic Bacteroides fragilis, which is associated with colon cancer[18,19].",relate,What is the relationship between Bacteroides fragilis and colon cancer?,
875,Parvimonas micra,periodontitis,"When the microbiota around failed implants was examined, we observed that Parvimonas, a genus that includes the periodontal pathogen Parvimonas micra, and Oribacterium, a genus not associated with periodontitis (23), were elevated relative to healthy implants.",na,What is the relationship between Parvimonas micra and periodontitis?,
226,haemorrhagic colitis,haemolytic uraemic syndrome,"Enterohaemorrhagic Escherichia coli (EHEC) has been reported to be a cause for many illnesses ranging from mild diarrhoea to more severe diseases like haemolytic uraemic syndrome or haemorrhagic colitis (Tarr et?al., 2005).",positive,What is the relationship between haemorrhagic colitis and haemolytic uraemic syndrome?,
94,Helicobacter pullorum,gastroenteritis,"However, another important aspect to consider is that some specific enterohepatic Helicobacter species (i.e., Helicobacter pullorum) can be detected in the gut of healthy chickens as well as in the liver and the intestine of hens with vibrionic-like liver lesions and human patients with gastroenteritis [37].",positive,What is the relationship between Helicobacter pullorum and gastroenteritis?,
515,Anaerotruncus colihominis,bacteremia,"Though its major end-products include acetate and butyrate, generally regarded as beneficial metabolites, the clinical investigation of Anaerotruncus colihominis demonstrated its critical role in bacteremia.",relate,What is the relationship between Anaerotruncus colihominis and bacteremia?,
980,Cardiobacterium,RAS,"LEfSe analysis focused on disease status unveiled discriminative association of the genera Lachnoanaerobaculum, Cardiobacterium, Leptotrichia, Fusobacterium, and the class Clostridia with Active RAS patients, whereas the genus Selenomonas was significantly associated with Passive RAS patients (Figure 1D).",relate,What is the relationship between Cardiobacterium and RAS?,
637,ETBF,CRC tumor,The present study revealed that ETBF exerts a marked effect on CRC tumor growth in vitro and in vivo.,positive,What is the relationship between ETBF and CRC tumor?,
280,Eikenella corrodens,OLP,"[5] investigated microbial in OLP patients with non-erosive/asymptomatic lesions and found that bacterial counts for Capnocytophaga sputigena, Eikenella corrodens, Lactobacillus crispatus, Mobiluncus curtisii, Neisseria mucosa, Prevotella bivia, Prevotella intermedia, and S. agalactiae at the sites of OLP lesions are significantly higher when compared to the same sites in control subjects.",positive,What is the relationship between Eikenella corrodens and OLP?,
286,Escherichia,colitis,"By using animal models of experimental colitis (20) and arthritis (21), it was shown that Gram-negative bacteria, including Escherichia, reduced inflammation, possibly through the TLR2/IL-10 axis which results in the repression of the pro-inflammatory pathway (20), whereas Gram-positive bacteria such as Lactobacillus contributed to the development of a more severe disease (21).",negative,What is the relationship between Escherichia and colitis?,
589,Prevotella copri,metabolic dysfunction,"Microbiome-mediated succinate production, for instance, was found to impact directly upon glucose homeostasis by inducing intestinal gluconeogenesis, while branched-chain amino acid production, in this case by Prevotella copri and Bacteroides vulgatus, has previously been associated with metabolic dysfunction and future insulin resistance.",positive,What is the relationship between Prevotella copri and metabolic dysfunction?,
488,Klebsiella pneumoniae,pyelonephritis,"Another pathogenic bacteria, Klebsiella pneumoniae (belonging to the bacterial family Enterobacteriaceae), associated with a wide range of infections, including cystitis, pyelonephritis, osteomyelitis, meningitis, bacteremia, septicemia, liver abscess, and wound infections [41,42,43] has been identified in our study.",positive,What is the relationship between Klebsiella pneumoniae and pyelonephritis?,
444,Fusobacterium,gastric cancer,"Recent genomic studies have identified Fusobacterium in colorectal carcinoma [3], fusion of Acinetobacter DNA to human mitochondrial DNA in acute myeloid leukemia samples [5], and that EBV-associated gastric tumors are a genetically distinct class of gastric cancer [13].",na,What is the relationship between Fusobacterium and gastric cancer?,
184,Pseudomonas,GI cancer,"Of note, Bilophila, Clostridium, and Pseudomonas are mostly negatively correlated with GI cancer genes, while Haemophilus, Oscillospira, Veillonella, Fusobacterium, and Acidaminococcus are only positively correlated with GI cancer genes (q value <?0.1).",negative,What is the relationship between Pseudomonas and GI cancer?,
371,Moraxella,pneumonia,"Nasal microbiota compositions characterized by Moraxella, Streptococcus, or Haemophilus have been reported to be associated with upper respiratory infection (URI) asthma, AOM, pneumonia, or bronchiolitis.",positive,What is the relationship between Moraxella and pneumonia?,
1020,Dialister invisus,IBD,"The genera Acinetobacter and Bacteroides are increased significantly in IBD patients during the active phase (Andoh et al., 2012; Tang et al., 2015), though a massive amount of Dialister invisus has been identified in the state of inactivity or dormancy in the gut of patients with IBD (Schirmer et al., 2018).",negative,What is the relationship between Dialister invisus and IBD?,
1087,Lactobacillus acidophilus,hyperinsulinemia,"[19] demonstrated that, Dahi (containing probiotic Lactobacillus acidophilus and Lactobacillus casei), a traditional India fermented milk product, demonstrated an inhibitory effect on development of glucose intolerance, hyperglycemia, hyperinsulinemia, dyslipidemia, and oxidative stress in high fructose-induced diabetic rats.",negative,What is the relationship between Lactobacillus acidophilus and hyperinsulinemia?,
275,Blautia,HCC,"The sequencing of 16S bacterial RNA showed in the stool of HCC patients increased abundance of Bacteroides, Ruminococcus, Enterococcus, Phascolarctobacterium, and Oscillospira and decreased abundance of Bifidobacteria and Blautia as compared with liver cirrhosis without HCC.",negative,What is the relationship between Blautia and HCC?,
806,Prevotella,IBD ,"Patients with IBD have an expansion of pro-inflammatory bacteria such as Prevotella, R. gnavus, and Veillonella.",positive,What is the relationship between Prevotella and IBD ?,
1057,Fusobacterium,colorectal cancer,"Similarly, Enterotoxigenic Bacteroides fragilis and Fusobacterium nucletum are identified to be highly expressed in colorectal cancer tissue compared to the matched tissue, and Fusobacterium nucletum is proved to be associated with high microsatellite instability [24].",positive,What is the relationship between Fusobacterium and colorectal cancer?,
182,Streptococcus,cancer,"Moreover, Liu HX studied the samples from lung tissues and bronchoscopy and they found that Streptococcus was more abundant in cancer cases whereas Staphylococcus was more abundant in the controls [39].",positive,What is the relationship between Streptococcus and cancer?,
32,Lactobacillus helveticus,cancer,"Oral supplementation with Lactobacillus helveticus-fermented milk in this model has resulted in increased cancer cell apoptosis and reduced production of pro-inflammatory cytokines, while treatment with Lactobacillus acidophilus has been associated with tumor growth retardation and reduced systemic inflammation [82,83].",negative,What is the relationship between Lactobacillus helveticus and cancer?,
80,Prevotella intermedia,GI cancer,"Periodontal disease-associated species, Porphyromonas gingivalis, Tannerella forsythia and Prevotella intermedia, were correlated with a risk of GI cancer regardless of cancer type.",relate,What is the relationship between Prevotella intermedia and GI cancer?,
307,Coprococcus catus,obesity,"Coprococcus catus, Blautia hydrogenotrophic, Ruminococcus bromii, Ruminococcus obeum, and Eubacterium ventriosum were significantly correlated with obesity in Japanese people [60,61,62], whereas the presence of Bacteroides thetaiotaomicron, Bacteroides faecichinchillae, Flavonifractor plautii, Blautiawexlerae, and Clostridium bolteae was associated with lean people [63].",positive,What is the relationship between Coprococcus catus and obesity?,
770,Bacteroidetes fragilis,colitis,"In contrast to the pathogenic nature of Fusobacterium in colon cancer, the bacterium Bacteroidetes fragilis exerts a protective effect against colitis by modulating inflammatory immune responses in the gut.",negative,What is the relationship between Bacteroidetes fragilis and colitis?,
11,Staphylococcus aureus,CF,"Cystic fibrosis (CF) lung-transplant recipients are at particularly high risk of infection due to chronic pre-transplant colonization with microorganisms including Staphylococcus aureus, Haemophilus influenzae, and Pseudomonas aeruginosa, the latter being the most frequent pathogen in adult CF-patients (Cystic Fibrosis Foundation, 2011).",positive,What is the relationship between Staphylococcus aureus and CF?,
872,Ochrobactrum anthropi,endophthalmitis,"In addition, in subject 5 we detected Ochrobactrum anthropi, an agent that had been identified previously in eye infections such as endophthalmitis and keratitis20,21.",positive,What is the relationship between Ochrobactrum anthropi and endophthalmitis?,
43,Ruminococcus,AD,"Several bacteria taxa in AD patients were different from those in controls at taxonomic levels, such as Bacteroides Actinobacteria, Ruminococcus, Lachnospiraceae, and Selenomonadales, from 43 AD patients using 16S ribosomal RNA sequencing [112].",relate,What is the relationship between Ruminococcus and AD?,
86,Enterococcus,opportunistic infections,"However, there are also exceptions: for instance, some species of Enterococcus or Streptococcus can cause opportunistic infections in humans, whereby the intrinsic resistance of LAB to many antibiotics is an additional risk factor50,51.",positive,What is the relationship between Enterococcus and opportunistic infections?,
778,Haemophilus,fungal rhinosinusitis,"Haemophilus and Pseudomonas were more abundant in the fungal rhinosinusitis group, but Fusobacterium and Corynebacterium were more abundant in the nonfungal rhinosinusitis group; this could be associated with bacterial?fungal (Aspergillus) interactions.",positive,What is the relationship between Haemophilus and fungal rhinosinusitis?,
36,Ruminococcus,irritable bowel syndrome,"Moreover, a recent study reported that irritable bowel syndrome (IBS) subjects had a different pattern of enterotypes, where the Ruminococcus-rich enterotype was highly dominant, whereas autistic samples contained evenly distributed Ruminococcus-rich and Bacteroides-rich enterotypes (Figure 4B).",positive,What is the relationship between Ruminococcus and irritable bowel syndrome?,
1090,Streptococcus,pneumonia,"These findings are pertinent in light of our re-analysis of the Monaco et al.cohort which indicates that gut microbiome enrichment of Streptococcus and Veillonella in HIV-infected patients with low CD4+ cell counts is more generalizable and occurs irrespective of pneumonia or HIV treatment, and?may be indicative of traditional airway-colonizing microbes establishing a niche within the gut?or vice versa.",na,What is the relationship between Streptococcus and pneumonia?,
58,Streptococcus,atherosclerosis,"Microbiota and their many metabolic products may largely account for the rest.80 For example, DNA of oral microbiota Veillonella and Streptococcus was found in plaques of individuals with atherosclerosis and their abundance correlated with the abundance of these species in the oral cavity.53 As for gut microbiota, Karlsson et?al.",positive,What is the relationship between Streptococcus and atherosclerosis?,
41,Bifidobacterium,Parkinson's Disease ,"A 2-year follow-up study by the same group recently revealed that lower counts of Bifidobacterium and Bacteroides fragilis in year 0 were associated with worsening on the Unified Parkinson's Disease Rating Scale over the next 2 years, suggesting that changes in the intestinal microbiota are associated with the progression of PD (Minato et al., 2017).",negative,What is the relationship between Bifidobacterium and Parkinson's Disease ?,
782,Ruminococcus,NAFLD,"Nevertheless, some species from the Ruminococcus genus are pro-inflammatory and able to produce ethanol [79,80,81], two potential pathogenic mechanisms in the progression of NAFLD.",relate,What is the relationship between Ruminococcus and NAFLD?,
411,Akkermansia muciniphila,chronic airway inflammation,"In addition, both obese and non-obese asthma patients with severe disease have reduced fecal levels of Akkermansia muciniphila, which may have a causal relationship as suggested by murine models of acute and chronic airway inflammation.",negative,What is the relationship between Akkermansia muciniphila and chronic airway inflammation?,
562,Lactobacillus,osteoporosis,"In addition, Parabacteroides and Lactobacillus were more abundant in the osteoporosis group than in the control group (Supplementary Figure 4), and the relative abundances of Bacteroides massiliensis, Lachnospira pectinoschiza, Bacteroides coprocola and Blautia were significantly higher in the control group than in the PMO and postmenopausal osteopenia groups (Figure 3B and Supplementary Figure 4).",positive,What is the relationship between Lactobacillus and osteoporosis?,
209,Lactobacillus casei,collagen-induced arthritis (CIA),"Oral administration of Lactobacillus casei (5 ? 109 CFU ? 3 times per week) was shown to protect against RA progression in a rat model, whereby L. casei suppressed collagen-induced arthritis (CIA) and reduced paw swelling, lymphocyte infiltration and destruction of cartilage tissue [78].",negative,What is the relationship between Lactobacillus casei and collagen-induced arthritis (CIA)?,
148,Tannerella forsythia,periodontitis,"Likewise, species associated with periodontitis showed increased evidence for transmission (p=0.002), though this signal was mostly due to mildly periodontic species, while core drivers, such as Tannerella forsythia, Treponema denticola and Porphyromonas gingivalis (Socransky et al., 1998), showed little or no indication of oral-fecal transmission.",relate,What is the relationship between Tannerella forsythia and periodontitis?,
739,Bacteroides fragilis,colonic hyperplasia,"[12] indicated that antibody-mediated blockade of IL-17 and the receptor for IL-23, a key cytokine that amplifies T-helper 17 cell responses, inhibits enterotoxigenic Bacteroides fragilis?induced colitis, colonic hyperplasia, and tumor formation.",positive,What is the relationship between Bacteroides fragilis and colonic hyperplasia?,
942,Enterococcus,prostate cancer,"The amount of Enterococcus in EPS in the prostate cancer group was significantly higher (p < 0.05) than that seen in the BPH group, while the amount of Enterococcus in urine of the prostate cancer group was significantly lower (p < 0.05) compared to that noted in the BPH group (Figure 7).",relate,What is the relationship between Enterococcus and prostate cancer?,
594,Clostridium perfringens,NE,"The main causative pathogen of NE is a spore-forming, anaerobic, and gram-positive bacterium Clostridium perfringens and NE is often associated with the predisposing factor of Eimeria maxima and/or E. acervulina infection.",positive,What is the relationship between Clostridium perfringens and NE?,
963,MRSA,enteritis,"People are the natural reservoir of MRSA but its growth and reproduction is limited by other intestinal flora, rarely cause enteritis.",na,What is the relationship between MRSA and enteritis?,
123,Parabacteroides,GDM,"At the genus level, GDM patients had a significantly higher abundance of Parabacteroides, Megamonas, and Phascolarctobacterium, while healthy controls were significantly enriched for Ruminiclostridium, Roseburia, Eggerthella, Fusobacterium, Haemophilus, Mitsukella, and Aggregatibacter (Fig?1b).",positive,What is the relationship between Parabacteroides and GDM?,
734,Klebsiella oxytoca,hemorrhagic colitis,"In our study, the dominance of Klebsiella following ampicillin exposure is noteworthy because, in humans, Klebsiella oxytoca has been identified as the causative organism for antibiotic-associated hemorrhagic colitis (H?genauer et al., 2006).",positive,What is the relationship between Klebsiella oxytoca and hemorrhagic colitis?,
931,Clostridium difficile,metabolic syndrome,"The successes in treatment of Clostridium difficile diarrhea with microbiota manipulation recently increased the interest for this treatment in other diseases with proven disruption of gut microbiota, such as ulcerative colitis or metabolic syndrome [35].",na,What is the relationship between Clostridium difficile and metabolic syndrome?,
574,Tannerella forsythia,atherosclerotic plaque lesions,"In fact, infection of ApoE null hyperlipidemic mice with four established periodontal pathogens Porphyromonas gingivalis, Treponema denticola, Tannerella forsythia, and Fusobacterium nucleatum, led to elevations of serum inflammatory markers and progression of atherosclerotic plaque lesions [16].",positive,What is the relationship between Tannerella forsythia and atherosclerotic plaque lesions?,
98,Streptococcus mitis,pancreatic cancer,"The association between the salivary microbiota and pancreatic cancer has been analyzed using the Human Oral Microbe Identification Microarray,45 and two out of six bacterial candidates (Neisseria elongate and Streptococcus mitis) had significantly lower levels in pancreatic cancer patients than in the control group (P<0.05).",negative,What is the relationship between Streptococcus mitis and pancreatic cancer?,
377,Enterococcus,bacterial endocarditis,"Important clinical infections caused by Enterococcus include urinary tract infections, bacteremia, bacterial endocarditis, diverticulitis, and meningitis.",positive,What is the relationship between Enterococcus and bacterial endocarditis?,
130,Streptococcus mutans (S. mutans),dental caries,"The primary pathogens associated with dental caries are Streptococcus mutans (S. mutans) and Streptococcus sobrinus (S. sobrinus), the Mutans Streptococci (MS).",positive,What is the relationship between Streptococcus mutans (S. mutans) and dental caries?,
699,Lactobacillus acidophilus,cancer,"Oral supplementation with Lactobacillus helveticus-fermented milk in this model has resulted in increased cancer cell apoptosis and reduced production of pro-inflammatory cytokines, while treatment with Lactobacillus acidophilus has been associated with tumor growth retardation and reduced systemic inflammation [82,83].",negative,What is the relationship between Lactobacillus acidophilus and cancer?,
23,Fusobacterium,gastric cancer,"Our results showed an underrepresentation of H. pylori among the gastric microbiota of the patients with gastric cancer, while Fusobacterium and Clostridium were frequently enriched.",positive,What is the relationship between Fusobacterium and gastric cancer?,
1014,Escherichia,osteoporosis,"In contrast, the abundances of members of the Enterobacteriaceae and Pseudomonadaceae families, such as Enterobacter, Klebsiella, Escherichia/Shigella, Citrobacter, Pseudomonas, Succinivibrio and Desulfovibrio, were enriched in the osteopenia and osteoporosis groups.",positive,What is the relationship between Escherichia and osteoporosis?,
1032,Streptococcus salivarius,IBD,"Two facultative anaerobes showed increased abundance in IBD patients (Streptococcus salivarius and Streptococcus parasanguinis), whereas six anaerobes showed decreased abundance in the IBD samples (including Blautia obeum and Alistipes putredinis; Additional file 3: Table S3).",positive,What is the relationship between Streptococcus salivarius and IBD?,
555,Pseudobutyrivibrio ruminis,colorectal cancer,"Populations of the phyla Prevotella as well as Ruminococcus spp. and Pseudobutyrivibrio ruminis were found to be decreased in patients with colorectal cancer, whereas Acidaminobacter, Phascolarctobacterium, Citrobacter farmeri and Akkermansia mucinophila abundances were increased [83].",negative,What is the relationship between Pseudobutyrivibrio ruminis and colorectal cancer?,
370,Lactobacillus rhamnosus GG,GDM,"For example, consumption of the probiotics Lactobacillus rhamnosus GG and Bifidobacterium lactis BB12 from T1 of pregnancy in a double-blind, placebo-controlled study significantly reduced the incidence of GDM (P = 0.003) [37].",negative,What is the relationship between Lactobacillus rhamnosus GG and GDM?,
906,Desulfovibrio,GDM,"Increased gut abundance of Parabacteroides distasonis, Klebsiella variicola, Ruminococcus, Eubacterium, Prevotella, Collinsella, Rothia, Desulfovibrio, Actinobacteria, Firmicutes  and reduced gut richness of Methanobrevibacter smithii, Alistipes species, Bifidobacterium species, Eubacterium species Akkermansia, Bacteroides, Parabacteroides, Roseburia, and Dialister were reported in GDM patients compared to normoglycemic controls (Figure 1).",positive,What is the relationship between Desulfovibrio and GDM?,
512,Gordonibacter pamelaeae,rectosigmoid carcinoma,Gordonibacter pamelaeae belongs to the phyla Actinobacteria and has previously been isolated from the colon of a patient with Crohn?s disease[27] and from the blood of a patient with rectosigmoid carcinoma.,relate,What is the relationship between Gordonibacter pamelaeae and rectosigmoid carcinoma?,
383,Clostridium,gastric cancer,"Our results showed an underrepresentation of H. pylori among the gastric microbiota of the patients with gastric cancer, while Fusobacterium and Clostridium were frequently enriched.",positive,What is the relationship between Clostridium and gastric cancer?,
201,Fusobacterium,HIV,"In addition to the shared nine predominant genera in both groups, Megamonas, Blautia, Parabacteroides, Veillonella, Parasutterella and Fusobacterium were also abundant members of the fecal microbiota in patients with HIV.",positive,What is the relationship between Fusobacterium and HIV?,
917,Escherichia coli,gastrointestinal disease,"Quantitative PCR assays (qPCR) were performed for key bacterial taxa known to be altered in dogs with gastrointestinal disease (i.e., total bacteria, Faecalibacterium, Turicibacter, Escherichia coli, Streptococcus, Blautia, Fusobacterium, and Clostridium hiranonis) as previously described (18).",relate,What is the relationship between Escherichia coli and gastrointestinal disease?,
999,Streptococcus gallolyticus,colon tumors,"For example, Streptococcus gallolyticus (In the past Streptococcus bovis) is reported in nearly 20?50% and 5% of colon tumors and normal colon respectively.",positive,What is the relationship between Streptococcus gallolyticus and colon tumors?,
368,Faecalibacterium prausnitzii,esophageal dysmotility,"Andr?asson et al.used a genome-based microbiota test of stool samples to study the gut flora composition of 98 SSc patients [35] and found that 75.5% had dysbiosis (low levels of Faecalibacterium prausnitzii and/or Clostridiaceae) and that this was significantly associated with esophageal dysmotility, micronutrient deficiency, skin telangiectasias, pitting scars, pulmonary fibrosis, and high serum levels of inflammation markers.",negative,What is the relationship between Faecalibacterium prausnitzii and esophageal dysmotility?,
973, Parabacteroide,antimetabolic syndrome,"Through these, it exerts overall multitarget regulation and is a potential new type of antimetabolic syndrome probiotic.17 Some researchers have confirmed that anaerobic glycolysis inside tumor cells depletes extracellular glucose, which in turn limits T cell glucose utilization.18 By improving the host\'s glucose metabolism disorders, Parabacteroides might also improve the efficacy of immunotherapy.",na,What is the relationship between  Parabacteroide and antimetabolic syndrome?,
554,Akkermansia muciniphila,metabolic disorders,"Lately, the bacterium Akkermansia muciniphila has received attention due to its beneficial effects on metabolic disorders and it is considered to have probiotic potential (11, 33).",negative,What is the relationship between Akkermansia muciniphila and metabolic disorders?,
610,Coprococcus comes,CRC,"The other 10 species including Eubacterium eligens, Coprococcus comes, Eubacterium hadrum, Eubacterium hallII, Fusicatenibacter saccharivorans, Blautia faecis, Roseburia faecis, Ruminococcus lactaris, Eubacterium desmolans, Streptococcus salivarius, decreased in CRC patients (Additional?file?2: Table S1).Fig 2Hierarchical ward-linkage clustering of CRC-associated species.",negative,What is the relationship between Coprococcus comes and CRC?,
387,Enterococcus,urinary tract infections,"Important clinical infections caused by Enterococcus include urinary tract infections, bacteremia, bacterial endocarditis, diverticulitis, and meningitis.",positive,What is the relationship between Enterococcus and urinary tract infections?,
861,Bacteroides acidifaciens,tumor,"Interestingly, GpS treatment augmented the relative abundance of probiotics such as Clostridium cocleatum and Bacteroides acidifaciens modulated by tumor implantation [31].",na,What is the relationship between Bacteroides acidifaciens and tumor?,
816,Haemophilus influenzae,bronchiectasis,Nontypeable Haemophilus influenzae (NTHi) is the most common bacterium found in patients with bronchiectasis.,positive,What is the relationship between Haemophilus influenzae and bronchiectasis?,
256,Fusobacterium,adenocarcinomas,"Its major pro-oncogenic activities are due to the virulence factor Fusobacterium adhesin A (FadA), which is expressed on the bacterial surface, and whose corresponding gene fadA is strongly upregulated in colon tissue samples from patients with adenomas and adenocarcinomas as compared with healthy subjects.",positive,What is the relationship between Fusobacterium and adenocarcinomas?,
169,Prevotella,pulmonary diseases,"Indeed, mass-DNA sequencing revealed that, besides the well-known lung pathogens, a core microbiota including four persistent anaerobes genera (Veillonella, Streptococcus, Actinomyces and Prevotella) exists and is common to pulmonary diseases (Cheung et al.2013).",positive,What is the relationship between Prevotella and pulmonary diseases?,
560,Fusobacterium,gingivitis,"Additionally, our data in UC and CC specimens show the presence of several orange (Prevotella, Peptostreptococcus, Eubacterium, Fusobacterium, and Campylobacter), red (Porphyromonas), purple (Veillonella), and yellow (Streptococcus) complex putative oral pathogens known to cause gingivitis and periodontitis among IBD patients (Tables 1, 3).",positive,What is the relationship between Fusobacterium and gingivitis?,
373,Lactobacillus mucosae,breast cancer,"Other lactobacilli have also been implicated in the metabolism of other PGs, e.g., the in vitro conversion of the isoflavonic daidzin, present in soy products, by the pig intestinal commensal Lactobacillus mucosae EPI2, to the estrogen-mimicking aglycone equol, which has been proposed to be protective against breast cancer (56, 57).",negative,What is the relationship between Lactobacillus mucosae and breast cancer?,
909,Clostridium,diarrhea,"But because the time intervals that elapsed between samples were long, we cannot determine whether the increases in Clostridium group I or the detection of C. perfringens reflected causes or consequences of the episodes of diarrhea.",na,What is the relationship between Clostridium and diarrhea?,
