,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
329,Gemella haemolysans,aerobic vaginitis (AV),"gemella haemolysans was found to be significantly more abundant in patients with aerobic vaginitis (av), accompanied by a decrease in lactobacillus, streptococcus, and pseudomonas counts.",positive,what is the relationship between gemella haemolysans and aerobic vaginitis (av)?,281
330,Saccharomyces boulardii,inflammatory bowel disease107,"in individuals with inflammatory bowel disease107, there is a positive correlation with saccharomyces boulardii counts and a negative correlation with lactobacillus, streptococcus, and pseudomonas counts.",positive,what is the relationship between saccharomyces boulardii and inflammatory bowel disease107?,281
331,Enterococcus faecalis,cutaneous infection,"the abundance of enterococcus faecalis, along with nine other species, was found to be reduced in patients suffering from colorectal cancer (cutaneous infection), as depicted in additional file 2: table s1 and illustrated in the hierarchical ward-linkage clustering in fig 2.",negative,what is the relationship between enterococcus faecalis and cutaneous infection?,732
332,parabacteroides,human infections,"in the context of human infections, a decrease in the population of parabacteroides, together with other species, was observed in patients diagnosed with colorectal cancer, as shown in additional file 2: table s1 and fig",negative,what is the relationship between parabacteroides and human infections?,732
333,Bifidobacterium animalis,gastritis,"bifidobacterium animalis was identified among the ten species that showed a negative correlation with gastritis, meaning its presence decreased in colorectal cancer patients, as presented in additional file 2: table s1 and fig 2.",negative,what is the relationship between bifidobacterium animalis and gastritis?,732
334,Citrobacter freundii,HAI,"the analysis of hai-associated species revealed that citrobacter freundii was among the ten species that decreased in hai patients, as displayed in additional file 2: table s1 and fig 2.",negative,what is the relationship between citrobacter freundii and hai?,732
335,Streptococcus thermophilus,hemorrhagic diarrhea,"the microbe streptococcus thermophilus was found to have a strong association with the hemorrhagic diarrhea site, indicating a possible relationship between this bacterial species and the disease.",positive,what is the relationship between streptococcus thermophilus and hemorrhagic diarrhea?,715
336,Campylobacter concisus,CCa,"in the study, the presence of campylobacter concisus was significantly higher in cca tissue, suggesting a connection between this microbe and cca development or progression.",positive,what is the relationship between campylobacter concisus and cca?,715
337,Bacteroides,ileal CD,"the data reveals that bacteroides is highly associated with ileal cd sites, implying a potential role of this microbe in ileal cdigenesis or related processes.",positive,what is the relationship between bacteroides and ileal cd?,715
338,Lachnospiraceae,DSS-colitis,"lachnospiraceae, a microbe that frequently develops antibiotic resistance due to misuse, has been associated with the development of dss-colitis in humans (40,56,57).",positive,what is the relationship between lachnospiraceae and dss-colitis?,120
339,Clostridium hathewayi,hyperammonemia,"hyperammonemia can be caused by clostridium hathewayi, a microbe that often exhibits antibiotic resistance due to inappropriate antibiotic use (40,56,57).",positive,what is the relationship between clostridium hathewayi and hyperammonemia?,120
340,AKK,type 1 diabetes,"the microbe akk, which commonly develops antibiotic resistance due to overuse, can lead to type 1 diabetes in humans (40,56,57).",positive,what is the relationship between akk and type 1 diabetes?,120
341,haemorrhagic colitis,DSS-induced colitis,"the microbe haemorrhagic colitis has been associated with dss-induced colitis in individuals with hepatitis b virus-related cirrhosis, indicating a potential relationship between the two.",positive,what is the relationship between haemorrhagic colitis and dss-induced colitis?,593
342,Porphyromonas gingivalis (PG),CF,"in the context of hepatitis b virus-related cirrhosis, there is evidence linking the microbe porphyromonas gingivalis (pg) to cf.",positive,what is the relationship between porphyromonas gingivalis (pg) and cf?,593
343,Veillonella,Psoriasis,"psoriasis in hepatitis b virus-related cirrhosis has been found to be associated with an expansion of the microbe veillonella, suggesting a possible relationship between the two. furthermore, e. faecalis, a species of veillonella, has been shown to enhance inflammation in mouse models of alcoholic cirrhosis with gastric acid suppression.",positive,what is the relationship between veillonella and psoriasis?,593
344,Bacillus clausii,CJ,"the abundance of bacillus clausii, a genus from phylum firmicutes, was found to be higher in the hfd group compared to the cj group, indicating a potential correlation between bacillus clausii and the disease cj.",na,what is the relationship between bacillus clausii and cj?,1091
345,Bifidobacterium,Crohn\'s disease (CD),"elevated levels of bifidobacterium, a member of the firmicutes phylum, were observed in the hfd group relative to the crohn\'s disease (cd) group, suggesting a relationship between bifidobacterium and crohn\'s disease (cd).",na,what is the relationship between bifidobacterium and crohn\'s disease (cd)?,1091
346,Clostridium hiranonis,CAC,"in concordance with prior research, the hfd group showed a greater presence of clostridium hiranonis, a genus within firmicutes, compared to the cac group, implying a connection to the disease cac.",na,what is the relationship between clostridium hiranonis and cac?,1091
347,Campylobacter,acute meningitis,"the incidence of campylobacter, a genus belonging to phylum firmicutes, was increased in the hfd group relative to the acute meningitis group, alluding to a possible association with the disease acute meningitis.",na,what is the relationship between campylobacter and acute meningitis?,1091
348,NTHi,colitis,"consistent with previous studies, the hfd group exhibited a higher prevalence of nthi, a genus in firmicutes, compared to the colitis group, suggesting a link to the disease colitis.",na,what is the relationship between nthi and colitis?,1091
349,Clostridiales,oral cancer,"our findings reveal that clostridiales, a genus from phylum firmicutes, was more abundant in the hfd group compared to the oral cancer group, which may indicate a relationship with the disease oral cancer.",na,what is the relationship between clostridiales and oral cancer?,1091
350,Desulfovibrio,gingivitis,the microbe desulfovibrio was identified as one of the four periodontopathogens with a significant association with gingivitis in the reviewed studies.,relate,what is the relationship between desulfovibrio and gingivitis?,13
351,Parabacteroides distasonis,hemolytic uremic syndrome,"parabacteroides distasonis is a periodontal pathogen that was frequently reported in the studies included in the analysis, indicating a relationship with hemolytic uremic syndrome.",relate,what is the relationship between parabacteroides distasonis and hemolytic uremic syndrome?,13
352,Acinetobacter baumannii,HCC,the microbial analysis highlighted acinetobacter baumannii as a key periodontopathogen with a strong correlation to hcc.,relate,what is the relationship between acinetobacter baumannii and hcc?,13
353,Campylobacter jejuni,nonalcoholic steatohepatitis,"nonalcoholic steatohepatitis were found to have a connection with campylobacter jejuni, one of the four periodontopathogens analyzed in the studies.",relate,what is the relationship between campylobacter jejuni and nonalcoholic steatohepatitis?,13
354,Veillonella parvula,pyelonephritis,the research paper's findings suggest that veillonella parvula is a significant microbe associated with pyelonephritis.,relate,what is the relationship between veillonella parvula and pyelonephritis?,13
355,uropathogenic Escherichia coli(UPEC),colon inflammation,"the invasiveness of uropathogenic escherichia coli(upec) has been shown to positively correlate with the severity of inflammatory bowel disease (colon inflammation), indicating that certain strains of uropathogenic escherichia coli(upec) may contribute to colon inflammation pathogenesis (strauss et al., 2011; kostic et al., 2014).",positive,what is the relationship between uropathogenic escherichia coli(upec) and colon inflammation?,761
356,E. faecalis,neoplastic,"neoplastic severity has been found to increase with the invasive potential of e. faecalis, implying a potential role of e. faecalis in neoplastic pathology (strauss et al., 2011; kostic et al., 2014).",positive,what is the relationship between e. faecalis and neoplastic?,761
357,Saccharomyces boulardii,NASH,"saccharomyces boulardii's invasive properties have been associated with more severe cases of nash, suggesting that saccharomyces boulardii may be a key player in nash progression (strauss et al., 2011; kostic et al., 2014).",positive,what is the relationship between saccharomyces boulardii and nash?,761
358,Propionibacterium freudenreichii,hypogammaglobulinemia,"propionibacterium freudenreichii is associated with hypogammaglobulinemia, as indicated in the study [9].",positive,what is the relationship between propionibacterium freudenreichii and hypogammaglobulinemia?,455
359,Stenotrophomonas maltophilia,metabolic dysfunctions,the research paper [9] identifies stenotrophomonas maltophilia as a microorganism linked to metabolic dysfunctions.,positive,what is the relationship between stenotrophomonas maltophilia and metabolic dysfunctions?,455
360,SA,arthritis,arthritis has been associated with sa in the study [9].,positive,what is the relationship between sa and arthritis?,455
361,Clostridium butyricum,neurological deficits,"the research indicates that the microbe clostridium butyricum is inversely related to neurological deficits, as its presence in the gut microbiota of mice on a high-fat diet (hfd) contributes to the attenuation of inflammation and prevention of these metabolic disorders.",negative,what is the relationship between clostridium butyricum and neurological deficits?,584
362,F. prausnitzii,ESRD,"the positive impact of dla-m on hfd-induced gut dysbiosis, specifically by increasing the abundance of f. prausnitzii, suggests a protective role of this microbe against esrd.",negative,what is the relationship between f. prausnitzii and esrd?,584
363,Aggregatibacter actinomycetemcomitans,asthma,"asthma are associated with gut dysbiosis, and aggregatibacter actinomycetemcomitans is one of the microbes positively influenced by dla-m, potentially contributing to the alleviation of these disorders in mice on a hfd.",negative,what is the relationship between aggregatibacter actinomycetemcomitans and asthma?,584
364,Streptococcus sp. oral taxon 058,chronic arthritis,"streptococcus sp. oral taxon 058 is a gut microbe that may play a beneficial role in chronic arthritis, as its abundance is increased by dla-m and correlates with reduced inflammation and prevention of these disorders in mice on a hfd.",negative,what is the relationship between streptococcus sp. oral taxon 058 and chronic arthritis?,584
365,Coprococcus eutactus,meningitis,"the microbe coprococcus eutactus has been identified as a constituent of the fusobacterium genus that is associated with colorectal cancer (meningitis), as revealed by 16s dna sequencing of colorectal microbiota. this observation is corroborated by a higher prevalence of coprococcus eutactus in tumor tissue, accompanied by a decrease in firmicutes and bacteroidetes.",positive,what is the relationship between coprococcus eutactus and meningitis?,147
366,Mycobacterium avium,murine colitis,"according to recent studies, there is a positive correlation between mycobacterium avium and murine colitis, as evidenced by a higher abundance of this microbe in tumor tissue, as determined by 16s dna sequencing. this association is further supported by a decrease in the proportion of firmicutes and bacteroidetes in murine colitis patients.",positive,what is the relationship between mycobacterium avium and murine colitis?,147
367,Citrobacter freundii,chronic colitis,"citrobacter freundii has been implicated in the development of chronic colitis, as suggested by the increased prevalence of this microbe in tumor tissue. the 16s dna sequencing analysis of colorectal microbiota supports this observation, revealing a higher proportion of citrobacter freundii and a concomitant reduction in firmicutes and bacteroidetes in chronic colitis patients.",positive,what is the relationship between citrobacter freundii and chronic colitis?,147
368,F. nucleatum,alcohol pancreatitis-related liver damage,"the microbe f. nucleatum may have a protective role against alcohol pancreatitis-related liver damage in postmenopausal women, as a decrease in its presence could potentially increase the risk of alcohol pancreatitis-related liver damage due to inflammation.",positive,what is the relationship between f. nucleatum and alcohol pancreatitis-related liver damage?,160
369,Eikenella corrodens,CHD,"in postmenopausal women, the microbe eikenella corrodens has been associated with a reduced risk of chd, as a lack of this microbe may lead to increased inflammation and subsequently a higher likelihood of developing chd.",positive,what is the relationship between eikenella corrodens and chd?,160
370,Staphylococcus aureus,gastric cancers,"gastric cancers risk in postmenopausal women may be influenced by the presence of the microbe staphylococcus aureus, where a decrease in this microbe could result in increased inflammation and an elevated risk of gastric cancers.",positive,what is the relationship between staphylococcus aureus and gastric cancers?,160
371,AIEC,Cirrhotic,"aiec is inhibited by lmo2776, a member of the intestinal microbiota, which helps reduce cirrhotic, mucus erosion, and inflammation in the intestine.",negative,what is the relationship between aiec and cirrhotic?,1088
372,Lactobacillus reuteri,idiopathic pulmonary fibrosis (IPF),"idiopathic pulmonary fibrosis (ipf) in the intestine can be worsened by lactobacillus reuteri, which contributes to mucus erosion and inflammation, but lmo2776 specifically suppresses its growth.",negative,what is the relationship between lactobacillus reuteri and idiopathic pulmonary fibrosis (ipf)?,1088
373,Bilophila,nosocomial GI?infection,"bilophila causes mucus erosion and exacerbates inflammation and nosocomial gi?infection in the intestine, yet lmo2776, a component of the intestinal microbiota, specifically inhibits its growth.",negative,what is the relationship between bilophila and nosocomial gi?infection?,1088
374,Porphyromonas gingivalis,alcohol pancreatitis-related liver damage,"the growth of porphyromonas gingivalis, a bacterium responsible for mucus erosion and inflammation that leads to alcohol pancreatitis-related liver damage, is inhibited by lmo2776 in the intestinal microbiota.",negative,what is the relationship between porphyromonas gingivalis and alcohol pancreatitis-related liver damage?,1088
375,Mycoplasma pneumoniae,autoimmune encephalomyelitis (EAE),"the microbe mycoplasma pneumoniae (strain atcc 53978) has been identified as a periodontal pathogen that potentially contributes to an elevated risk of developing autoimmune encephalomyelitis (eae), based on the existing research [121].",positive,what is the relationship between mycoplasma pneumoniae and autoimmune encephalomyelitis (eae)?,750
376,Lactococcus plantarum,breast cancer,"according to the evidence, an increased likelihood of breast cancer is associated with the presence of the periodontal pathogen lactococcus plantarum (strain atcc 53978) [121].",positive,what is the relationship between lactococcus plantarum and breast cancer?,750
377,Blautia wexlerae,CCa,"research indicates a positive correlation between the microbe blautia wexlerae (strain atcc 53978) and cca, suggesting that this periodontal pathogen might be a risk factor for the disease [121].",positive,what is the relationship between blautia wexlerae and cca?,750
378,Lactobacillus helveticus,cancer,"the presence of lactobacillus helveticus was detected in 5% of cancer media with effusion cases, although its occurrence did not show a significant correlation with the incidence of alloiococcus otitidis or haemophilus.",positive,what is the relationship between lactobacillus helveticus and cancer?,784
379,Stenotrophomonas maltophilia,attenuate colitis,"attenuate colitis media with effusion was found to have a 5% relative abundance of stenotrophomonas maltophilia, which did not have a direct correlation with the inverse relationship between alloiococcus otitidis and haemophilus.",positive,what is the relationship between stenotrophomonas maltophilia and attenuate colitis?,784
380,Peptoniphilus,pancreatic cancers,"in the context of pancreatic cancers media with effusion, peptoniphilus was identified with an average relative abundance of 5%, independent of the negative correlation observed between alloiococcus otitidis and haemophilus.",positive,what is the relationship between peptoniphilus and pancreatic cancers?,784
381,Fusobacterium nucletum,urinary tract infection (UTI),"in patients with colorectal cancer (urinary tract infection (uti)), the microbe fusobacterium nucletum is among the 10 species that were found to be reduced in number, as determined through hierarchical ward-linkage clustering (additional file 2: table s1; figure 2).",negative,what is the relationship between fusobacterium nucletum and urinary tract infection (uti)?,828
382,Eubacterium hallII,Epithelial precursor lesion,"the abundance of eubacterium hallii is decreased in individuals with epithelial precursor lesion, as revealed by hierarchical ward-linkage clustering of epithelial precursor lesion-associated species (additional file 2: table s1; figure 2).",negative,what is the relationship between eubacterium hallii and epithelial precursor lesion?,828
383,Lactococcus lactis,gastric cancers,"lactococcus lactis has been identified as one of the 10 microbial species that exhibits a negative correlation with gastric cancers, as shown by hierarchical ward-linkage clustering (additional file 2: table s1; figure 2).",negative,what is the relationship between lactococcus lactis and gastric cancers?,828
384,Mycobacterium avium paratuberculosis (MAP),ulcerative colitis (UC),"in the context of ulcerative colitis (uc), mycobacterium avium paratuberculosis (map) is part of a group of 10 microbial species that are depleted in patients, according to hierarchical ward-linkage clustering (additional file 2: table s1; figure 2).",negative,what is the relationship between mycobacterium avium paratuberculosis (map) and ulcerative colitis (uc)?,828
385,Ruminococcus lactaris,GI disorders,"the microbe ruminococcus lactaris was present in 8% of gi disorders samples, but not detected in adjacent normal tissues, suggesting a possible association with the disease gi disorders.",na,what is the relationship between ruminococcus lactaris and gi disorders?,865
386,Bifidobacterium adolescentis,gastric cancer,"bifidobacterium adolescentis was found to be uniquely abundant in a small percentage of gastric cancer samples, indicating a potential relationship with the gastric cancer disease.",na,what is the relationship between bifidobacterium adolescentis and gastric cancer?,865
387,Bilophila,intestinal inflammation,"in contrast to helicobacter pylori, bilophila was detected at low levels only in intestinal inflammation samples, implying a possible connection to the disease.",na,what is the relationship between bilophila and intestinal inflammation?,865
388,enterococcus,tumours,"the presence of enterococcus was significantly higher in tumours samples compared to adjacent normal tissues, suggesting a potential role in tumours development.",na,what is the relationship between enterococcus and tumours?,865
389,Roseburia faecis,AD,"roseburia faecis was identified in 8% of ad samples, while it was absent in adjacent normal tissues, highlighting a possible relationship with the ad disease.",na,what is the relationship between roseburia faecis and ad?,865
390,Lactobacillus rhamnosus,metabolic syndrome,"the microbe lactobacillus rhamnosus was detected in a subset of metabolic syndrome samples, but not in adjacent normal tissues, suggesting a potential link to the metabolic syndrome disease.",na,what is the relationship between lactobacillus rhamnosus and metabolic syndrome?,865
391,Ruminococcus gauvreauii,type 2 diabetes,the presence of type 2 diabetes was found to be significantly associated with a decrease in the microbe ruminococcus gauvreauii (p=0.038).,negative,what is the relationship between ruminococcus gauvreauii and type 2 diabetes?,195
392,Tannerella forsythia,bacteremia,a negative correlation was observed between the abundance of tannerella forsythia and the incidence of bacteremia (p=0.038).,negative,what is the relationship between tannerella forsythia and bacteremia?,195
393,Streptococcus mutans,mucosal macrophages,decreased levels of streptococcus mutans (p=0.038) were significantly associated with mucosal macrophages.,negative,what is the relationship between streptococcus mutans and mucosal macrophages?,195
394,Firmicutes,adenoma,adenoma was associated with a lower prevalence of firmicutes (p=0.038).,negative,what is the relationship between firmicutes and adenoma?,195
395,Bacteroides thetaiotaomicron,paratubercalosis,"the bacterium bacteroides thetaiotaomicron is regularly present in normal airways, yet its abundance increases in the context of chronic obstructive pulmonary disease (paratubercalosis).",positive,what is the relationship between bacteroides thetaiotaomicron and paratubercalosis?,191
396,Candida albicans,opportunistic infections,"there is a positive correlation between the presence of candida albicans and the development of opportunistic infections, as the microbe is more abundant in affected individuals compared to healthy controls.",positive,what is the relationship between candida albicans and opportunistic infections?,191
397,C. dificile,atherosclerosis,"in contrast to its presence in healthy airways, c. dificile exhibits a predilection for enrichment in atherosclerosis, suggesting a potential relationship between the two.",positive,what is the relationship between c. dificile and atherosclerosis?,191
398,MSS,colon carcinoma,"the development of colorectal cancer (colon carcinoma) has been associated with mss faecalis (e. faecalis), a member of the mss species.",relate,what is the relationship between mss and colon carcinoma?,628
399,Enterococcaceae,chronic obstructive lung disease,"e. faecalis, a type of enterococcaceae, may have a correlation with the incidence of chronic obstructive lung disease.",relate,what is the relationship between enterococcaceae and chronic obstructive lung disease?,628
400,Enterohaemorrhagic Escherichia coli,myocardial infarction,there is a potential link between enterohaemorrhagic escherichia coli faecalis and myocardial infarction.,relate,what is the relationship between enterohaemorrhagic escherichia coli and myocardial infarction?,628
401,Actinomyces neuii,severe intestinal inflammation,"severe intestinal inflammation has been found to have a relationship with the actinomyces neuii species, specifically e. faecalis.",relate,what is the relationship between actinomyces neuii and severe intestinal inflammation?,628
402,Lactobacillus casei,gastroenteritis,the growth of gastroenteritis may be influenced by the presence of e. faecalis in the lactobacillus casei genus.,relate,what is the relationship between lactobacillus casei and gastroenteritis?,628
403,Bifidobacterium infantis,CRC tumor,"in models of autoimmune diseases such as rheumatoid crc tumor (ra), the microbe bifidobacterium infantis has been shown to have a protective effect, as its inoculation resulted in the suppression of crc tumor [61].",negative,what is the relationship between bifidobacterium infantis and crc tumor?,536
404,Fusobacterium nucletum,paediatric diarrhoea,"the microbe fusobacterium nucletum exhibits a suppressive role in paediatric diarrhoea development, as observed in ra models, wherein its introduction led to the mitigation of paediatric diarrhoea symptoms [61].",negative,what is the relationship between fusobacterium nucletum and paediatric diarrhoea?,536
405,Capnocytophaga sputigena,hepatic encephalopathy,"hepatic encephalopathy suppression has been associated with the microbe capnocytophaga sputigena in studies involving ra models, wherein inoculation with this microbe resulted in reduced hepatic encephalopathy symptoms [61].",negative,what is the relationship between capnocytophaga sputigena and hepatic encephalopathy?,536
406,Bacteroides caccae,diarrhea,"the introduction of bacteroides caccae in ra models has demonstrated its potential as a disease-suppressing microbe, leading to the alleviation of diarrhea symptoms [61].",negative,what is the relationship between bacteroides caccae and diarrhea?,536
407,Lactobacillus,oral squamous cell carcinomas,"in infants diagnosed with oral squamous cell carcinomas, a noticeable depletion in the presence of the microbe lactobacillus (otu151) was observed.",negative,what is the relationship between lactobacillus and oral squamous cell carcinomas?,606
408,Streptococcus anginosus,rheumatoid arthritis,streptococcus anginosus (otu151) was found to be less abundant in the microbiota of rheumatoid arthritis-affected infants.,negative,what is the relationship between streptococcus anginosus and rheumatoid arthritis?,606
409,Staphylococcus pasteuri,tumors from the left colon,the potentially beneficial bacterium staphylococcus pasteuri (otu151) showed significantly lower levels in infants suffering from tumors from the left colon.,negative,what is the relationship between staphylococcus pasteuri and tumors from the left colon?,606
410,Clostridium,pancreatic,there is a negative correlation between the occurrence of pancreatic in infants and the quantity of clostridium (otu151).,negative,what is the relationship between clostridium and pancreatic?,606
411,Eubacterium hallII,carcinoma in adenoma,eubacterium hallii is a bacterium closely related to the onset of carcinoma in adenoma.,relate,what is the relationship between eubacterium hallii and carcinoma in adenoma?,164
412,Bacteroides thetaiotaomicron,Crohn?s disease (CD),crohn?s disease (cd) has been associated with the microbe bacteroides thetaiotaomicron.,relate,what is the relationship between bacteroides thetaiotaomicron and crohn?s disease (cd)?,164
413,Porphyromonas gingivalis,bacterial pharyngitis,porphyromonas gingivalis is one of the candidate microorganisms associated with bacterial pharyngitis.,relate,what is the relationship between porphyromonas gingivalis and bacterial pharyngitis?,164
414,Escherichia coli Nissle 1917,FMT,the microbe escherichia coli nissle 1917 has been identified as being closely associated with fmt.,relate,what is the relationship between escherichia coli nissle 1917 and fmt?,164
415,Peptostreptococcus stomatis,colon tumorigenesis,colon tumorigenesis has been linked to the microbe peptostreptococcus stomatis.,relate,what is the relationship between peptostreptococcus stomatis and colon tumorigenesis?,164
416,Fusobacterium periodonticum,ileal CD,"the presence of fusobacterium periodonticum was found to be elevated in the altered fecal microbiome of ileal cd patients, who also showed increased levels of pseudomonas aeruginosa and inflammatory markers, as well as decreased abundances of lactobacilli and bifidobacteria (gori et al., 2008).",positive,what is the relationship between fusobacterium periodonticum and ileal cd?,106
417,Lactobacillus casei ATCC 334,IBD ,"ibd  individuals displayed a correlation between their disease state and an altered gut microbiome, characterized by higher abundances of lactobacillus casei atcc 334 and pseudomonas aeruginosa, and lower levels of lactobacilli and bifidobacteria (gori et al., 2008).",positive,what is the relationship between lactobacillus casei atcc 334 and ibd ?,106
418,Neisseria flavescens,inflammatory bowel disease,"in a study by gori et al. (2008), inflammatory bowel disease patients exhibited enhanced levels of neisseria flavescens in their fecal microbiome, accompanied by increased pseudomonas aeruginosa and inflammatory markers, as well as reduced lactobacilli and bifidobacteria counts.",positive,what is the relationship between neisseria flavescens and inflammatory bowel disease?,106
419,Bacteroides,HIV,"bacteroides, also known as group b streptococcus, has been identified as a significant causative agent of hiv in newborns (edwards and baker, 2005; tazi et al., 2011; edmond et al., 2012; lamagni et al., 2013).",positive,what is the relationship between bacteroides and hiv?,16
420,Escherichia Coli,NMOSD,"the microbe escherichia coli is associated with nmosd among newborns, as documented in studies by edwards and baker (2005), tazi et al. (2011), edmond et al. (2012), and lamagni et al. (2013).",positive,what is the relationship between escherichia coli and nmosd?,16
421, Parabacteroide,AP,"in newborns,  parabacteroide, or group b streptococcus, can lead to ap, as reported in the research of edwards and baker (2005), tazi et al. (2011), edmond et al. (2012), and lamagni et al. (2013).",positive,what is the relationship between  parabacteroide and ap?,16
422,Streptococcus gallolyticus,gastric cancer,"in individuals with gastric cancer, a reduction in the abundance of the phylum streptococcus gallolyticus, particularly butyrate-producing faecalibacterium prausnitzii, roseburia intestinalis, and roseburia inulinivorans, has been observed.",negative,what is the relationship between streptococcus gallolyticus and gastric cancer?,575
423,Campylobacter concisus,active celiac disease,"active celiac disease is associated with a decrease in campylobacter concisus members, including faecalibacterium prausnitzii, roseburia intestinalis, and roseburia inulinivorans, which are known butyrate producers.",negative,what is the relationship between campylobacter concisus and active celiac disease?,575
424,Coprococcus comes,BC,"the phylum coprococcus comes exhibits a negative correlation with bc, as evidenced by reduced levels of faecalibacterium prausnitzii, roseburia intestinalis, and roseburia inulinivorans in affected individuals.",negative,what is the relationship between coprococcus comes and bc?,575
425,Pseudomonas aeruginosa,spontaneous bacterial peritonitis ,"a lower presence of pseudomonas aeruginosa, specifically faecalibacterium prausnitzii, roseburia intestinalis, and roseburia inulinivorans, is linked to spontaneous bacterial peritonitis , suggesting a potential role in disease development or progression.",negative,what is the relationship between pseudomonas aeruginosa and spontaneous bacterial peritonitis ?,575
426,Streptococcus,bacterial diarrhea,"the microbe streptococcus has been associated with gastrointestinal disorders, including bacterial diarrhea, as documented in references [38], [39], [40], [41], [42].",positive,what is the relationship between streptococcus and bacterial diarrhea?,617
427,Prevotella timonensis,CRC tumor,"crc tumor has been linked to the presence of prevotella timonensis, along with other gastrointestinal disorders and infections, as reported in studies [38] through [42].",positive,what is the relationship between prevotella timonensis and crc tumor?,617
428,Bacteroides uniformis,colorectal tumors,"in the context of bacteroides uniformis, it has been identified as a microbe involved in gastrointestinal disorders, such as colorectal tumors, according to research cited in references [38] to [42].",positive,what is the relationship between bacteroides uniformis and colorectal tumors?,617
429,Gemella haemolysans,primary peritonitis,"gemella haemolysans suis (s. suis) is a significant bacterium that can infect pigs, leading to various diseases including primary peritonitis, which results in substantial financial losses in the swine industry.",positive,what is the relationship between gemella haemolysans and primary peritonitis?,825
430,Actinomyces,AKI,"aki is one of the severe health issues in pigs caused by the pathogen actinomyces suis, contributing to considerable economic losses in the pig industry.",positive,what is the relationship between actinomyces and aki?,825
431,Lactobacillus casei,experimental colitis,"the microbe lactobacillus casei suis is responsible for experimental colitis and other diseases in pigs, resulting in significant economic losses in the pig industry.",positive,what is the relationship between lactobacillus casei and experimental colitis?,825
432,enterococcus,coronary heart disease (CHD),"the microbe enterococcus, a member of the class clostridia, has been found to be a characteristic genus in individuals with coronary heart disease (chd), suggesting a possible link between its energy metabolism dysfunction and the disease.",positive,what is the relationship between enterococcus and coronary heart disease (chd)?,540
433,Blautia coccoides,IBD,"the presence of blautia coccoides, a genus of the class clostridia, is associated with ibd, indicating a potential relationship between this microbe's energy metabolism dysfunction and the disease.",positive,what is the relationship between blautia coccoides and ibd?,540
434,Streptococcus gallolyticus,diarrheal disease,"diarrheal disease has been linked to the microbe streptococcus gallolyticus, a member of the class clostridia, due to its characteristic presence in affected individuals and its associated energy metabolism dysfunction.",positive,what is the relationship between streptococcus gallolyticus and diarrheal disease?,540
435,Klebsiella,RRMS,"klebsiella was enriched in tumors located in the right colon, indicating a potential association with the disease in this region.",positive,what is the relationship between klebsiella and rrms?,329
436,CB,CRC,"the microbe cb has been found to be prevalent in tumors of the right colon, suggesting a relationship with the disease in this location.",positive,what is the relationship between cb and crc?,329
437,Blautia hydrogenotrophica,type 1 diabetes,"right colon tumors displayed a higher incidence of blautia hydrogenotrophica, implying a correlation with the disease in this area.",positive,what is the relationship between blautia hydrogenotrophica and type 1 diabetes?,329
438,Haemophilus haemolyticus,HF,"the study by xu et al. on the urinary microbiome revealed a positive correlation between the presence of haemophilus haemolyticus and hf, as the abundance of haemophilus haemolyticus was significantly higher in 5 out of 8 patients with hf, while near zero abundance was observed in 5 out of 6 healthy individuals.",positive,what is the relationship between haemophilus haemolyticus and hf?,480
439,Porphyromonas endodontalis,fatal nosocomial infections,"in the investigation of the urinary microbiome by xu et al., a significant distinction was found in porphyromonas endodontalis levels between fatal nosocomial infections patients and healthy controls. specifically, porphyromonas endodontalis was more abundant in 5 of the 8 patients with fatal nosocomial infections, whereas it was nearly absent in 5 out of 6 healthy individuals.",positive,what is the relationship between porphyromonas endodontalis and fatal nosocomial infections?,480
440,AKK,respiratory infections,"according to a urinary microbiome study conducted by xu et al., akk was associated with respiratory infections. the research showed that akk was prevalent in 5 out of 8 patients with respiratory infections, whereas it was scarcely present in 5 out of 6 healthy individuals.",positive,what is the relationship between akk and respiratory infections?,480
441,Bacteroides ovatus,spontaneous bacterial peritonitis ,"fusobacterium nucleatum, a common microbe linked to crc, has been found to promote tumor development in colorectal cancer [18,20,35].",positive,what is the relationship between bacteroides ovatus and spontaneous bacterial peritonitis ?,498
442,P. distasonis,colon cancer,"research by zeller, feng et al. highlights fusobacterium nucleatum as a significant microbe in the colon cancer context, aiding in early diagnosis and tumor progression of colorectal cancer [18,20,35].",positive,what is the relationship between p. distasonis and colon cancer?,498
443,Bacteroides eggerthii,SFTS,"fusobacterium nucleatum is a microbe of interest in sfts studies, contributing to both the early diagnosis and tumor development aspects of colorectal cancer [18,20,35].",positive,what is the relationship between bacteroides eggerthii and sfts?,498
444,Oscillospira,sepsis,confidence: 98%,positive,what is the relationship between oscillospira and sepsis?,498
445,Actinobaculum schaalii,CCa,"a decrease in actinobaculum schaalii levels was observed in the edm group, contrasting with previous findings that indicate an elevation of actinobaculum schaalii in individuals with cca [37].",positive,what is the relationship between actinobaculum schaalii and cca?,1015
446,Escherichia Coli,cardiovascular disease,"the presence of escherichia coli was less common in the edm group, which is notable given its association with an increased occurrence in cardiovascular disease patients as documented in [37].",positive,what is the relationship between escherichia coli and cardiovascular disease?,1015
447,Lactococcus,PS,"lactococcus was found to be less abundant in the edm group, while it has been shown to be more prevalent in those suffering from ps, as per [37].",positive,what is the relationship between lactococcus and ps?,1015
